設定收費區代碼,緯度,經度
03F3496S,23.040203,120.325172
03F3588N,22.969758,120.340164
03F3588S,22.969758,120.340164
03F3670N,22.901969,120.354767
03F3670S,22.901969,120.354767
03F3743N,22.845122,120.385428
03F3743S,22.845122,120.385428
03F3854N,22.769197,120.441839
03F3854S,22.769197,120.441839
03F3916N,22.749792,120.496839
03F3916S,22.749792,120.496839
03F3981S,22.7058,120.539336
03F3984N,22.704642,120.541133
03F4018S,22.682775,120.563086
03F4021N,22.680347,120.563311
03F4142N,22.579586,120.526161
03F4142S,22.579586,120.526161
03F4168N,22.557408,120.524761
03F4168S,22.557186,120.524558
03F4232N,22.501367,120.525775
03F4232S,22.501367,120.525775
03F4259N,22.477464,120.531386
03F4263S,22.474661,120.530844
05F0000S,25.035183,121.623019
05F0001N,25.035036,121.624719
05F0055N,24.996503,121.652086
05F0055S,24.996503,121.652086
05F0287N,24.842714,121.789183
05F0287S,24.842714,121.789183
05F0309N,24.823656,121.786347
05F0309S,24.823656,121.786347
05F0438N,24.711028,121.789478
05F0439S,24.710683,121.789461
05F0494S,24.662581,121.799908
05F0528N,24.632728,121.806958
05FR113S,24.733789,121.782022
05FR143N,24.733961,121.782364
